mal_id,title,type,episodes,members,genres_clean,source,air_year,air_season,airing_start_clean
36250,Baka to Test to Shoukanjuu Mini Anime,Special,1.0,11779,"['Comedy', 'School', 'Super Power']",Light novel,2017,fall,2017-11-28
37031,Mahoutsukai no Yome Recap,Special,1.0,10727,"['Slice of Life', 'Magic', 'Fantasy', 'Shounen']",Manga,2017,fall,2017-12-30
34870,BanG Dream!: Asonjatta!,Special,1.0,7858,"['Music', 'Slice of Life']",Original,2017,fall,2017-11-21
36798,Yuuki Yuuna wa Yuusha de Aru: Hidamari,Special,1.0,7031,"['Drama', 'Fantasy', 'Magic', 'Slice of Life']",Original,2017,fall,2017-11-17
37046,Drifters (OVA): Kokuou-sama Goranshin,Special,1.0,5398,"['Comedy', 'Parody']",-,2017,fall,2017-12-22
36186,The iDOLM@STER Prologue SideM: Episode of Jupiter,Special,1.0,5005,['Music'],Game,2017,fall,2017-09-30
36932,Evil or Live Recap,Special,1.0,3399,"['Psychological', 'School']",Web manga,2017,fall,2017-12-12
36692,Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear,Special,4.0,3338,"['Sci-Fi', 'Music', 'Slice of Life', 'Comedy']",Original,2017,fall,2017-11-28
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,Special,1.0,3295,"['Sci-Fi', 'Romance']",Novel,2017,fall,2017-10-20
36827,Tantei Opera Milky Holmes: Arsene Karei naru Yokubou,Special,1.0,1549,"['Mystery', 'Comedy', 'Super Power']",Original,2017,fall,2017-12-30
36834,Sengoku Night Blood: Ongaku Dai Tokushuu,Special,1.0,1511,"['Fantasy', 'Historical', 'Music', 'Romance']",Game,2017,fall,2017-11-20
36942,Cinderella Girls Gekijou 2nd Season Specials,Special,3.0,1466,"['Slice of Life', 'Comedy']",4-koma manga,2017,fall,2017-11-28
37124,THE iDOLM@STER Cinderella Girls: Starlight Stage - Shinshun! Happy New Year Campaign,Special,1.0,768,"['Game', 'Music']",Game,2017,fall,2017-12-30
37290,Ani x Para: Anata no Hero wa Dare desu ka,Special,,398,['Sports'],Original,2017,fall,2017-11-09
36620,Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan,Special,2.0,207,"['Comedy', 'Kids']",-,2017,fall,2017-10-29
36874,Aware! Meisaku-kun: Oronamin C,Special,1.0,187,"['Comedy', 'Parody']",Original,2017,fall,2017-11-29
37028,Panpaka Pants x Lala-chan,Special,4.0,171,"['Game', 'Kids']",Original,2017,fall,2017-12-29
38771,Wego Graphics,Special,2.0,158,['Music'],Original,2017,fall,2017-10-06
38931,Green Co-Op CMs,Special,5.0,122,"['Fantasy', 'Slice of Life']",Original,2017,fall,2017-12-14
33352,Violet Evergarden,TV,13.0,917572,"['Slice of Life', 'Drama', 'Fantasy']",Light novel,2018,winter,2018-01-10
35849,Darling in the FranXX,TV,24.0,853537,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",Original,2018,winter,2018-01-13
34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24.0,668455,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",Manga,2018,winter,2018-01-12
35073,Overlord II,TV,13.0,593418,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']",Light novel,2018,winter,2018-01-09
35860,Karakai Jouzu no Takagi-san,TV,12.0,328359,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shounen']",Manga,2018,winter,2018-01-08
35839,Sora yori mo Tooi Basho,TV,13.0,316466,"['Adventure', 'Comedy', 'Drama']",Original,2018,winter,2018-01-02
34382,Citrus,TV,12.0,309903,"['Drama', 'Romance', 'School', 'Shoujo Ai']",Manga,2018,winter,2018-01-06
34497,Death March kara Hajimaru Isekai Kyousoukyoku,TV,12.0,308198,"['Adventure', 'Fantasy', 'Harem']",Light novel,2018,winter,2018-01-11
34612,Saiki Kusuo no Ψ-nan 2,TV,24.0,295779,"['Slice of Life', 'Comedy', 'Supernatural', 'School', 'Shounen']",Manga,2018,winter,2018-01-16
34798,Yuru Camp△,TV,12.0,268785,"['Slice of Life', 'Comedy']",Manga,2018,winter,2018-01-04
34279,Grancrest Senki,TV,24.0,195614,"['Action', 'Drama', 'Fantasy', 'Romance']",Light novel,2018,winter,2018-01-05
34984,Koi wa Ameagari no You ni,TV,12.0,184428,"['Romance', 'Seinen']",Manga,2018,winter,2018-01-11
35330,Poputepipikku,TV,12.0,158892,"['Comedy', 'Dementia', 'Parody']",4-koma manga,2018,winter,2018-01-06
33047,Fate/Extra: Last Encore,TV,10.0,145887,"['Action', 'Fantasy', 'Magic']",Game,2018,winter,2018-01-27
35222,Gakuen Babysitters,TV,12.0,143471,"['Comedy', 'School', 'Shoujo', 'Slice of Life']",Manga,2018,winter,2018-01-07
36548,Kokkoku,TV,12.0,136684,"['Psychological', 'Supernatural', 'Drama', 'Mystery', 'Seinen']",Manga,2018,winter,2018-01-07
36516,Beatless,TV,20.0,130444,"['Action', 'Drama', 'Romance', 'Sci-Fi']",Light novel,2018,winter,2018-01-12
34964,Killing Bites,TV,12.0,124777,"['Action', 'Ecchi', 'Sci-Fi', 'Seinen']",Manga,2018,winter,2018-01-12
35905,Ryuuou no Oshigoto!,TV,12.0,124113,"['Comedy', 'Game', 'Slice of Life']",Light novel,2018,winter,2018-01-08
35889,Hakata Tonkotsu Ramens,TV,12.0,115174,['Action'],Novel,2018,winter,2018-01-12
36838,Gintama.: Shirogane no Tamashii-hen,TV,12.0,114410,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,2018,winter,2018-01-07
36049,Dagashi Kashi 2,TV,12.0,107882,"['Slice of Life', 'Comedy', 'Shounen']",Manga,2018,winter,2018-01-11
33354,Cardcaptor Sakura: Clear Card-hen,TV,22.0,88135,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",Manga,2018,winter,2018-01-06
36124,Itou Junji: Collection,TV,12.0,87971,"['Mystery', 'Comedy', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Drama', 'Thriller', 'School']",Manga,2018,winter,2018-01-05
35828,Miira no Kaikata,TV,12.0,77332,"['Slice of Life', 'Comedy', 'Supernatural']",Web manga,2018,winter,2018-01-11
35078,Mitsuboshi Colors,TV,12.0,71344,"['Comedy', 'Shounen', 'Slice of Life']",Manga,2018,winter,2018-01-07
35589,Toji no Miko,TV,24.0,60881,"['Action', 'Fantasy']",Original,2018,winter,2018-01-05
35540,Slow Start,TV,12.0,59976,"['Comedy', 'School', 'Slice of Life']",4-koma manga,2018,winter,2018-01-06
35298,Ramen Daisuki Koizumi-san,TV,12.0,47893,"['Comedy', 'Slice of Life']",Manga,2018,winter,2018-01-04
36094,Hakumei to Mikochi,TV,12.0,45858,"['Fantasy', 'Seinen', 'Slice of Life']",Manga,2018,winter,2018-01-12
35757,Gin no Guardian II,TV,6.0,42389,"['Adventure', 'Fantasy']",Web manga,2018,winter,2018-01-13
36847,Nanatsu no Bitoku,TV,10.0,38804,"['Ecchi', 'Fantasy']",Other,2018,winter,2018-01-26
35789,Yowamushi Pedal: Glory Line,TV,25.0,38559,"['Comedy', 'Drama', 'Shounen', 'Sports']",Manga,2018,winter,2018-01-08
34839,Sanrio Danshi,TV,12.0,36365,"['Slice of Life', 'Drama', 'School']",Original,2018,winter,2018-01-06
36108,Takunomi.,TV,12.0,35355,"['Comedy', 'Slice of Life']",Web manga,2018,winter,2018-01-11
33899,IDOLiSH7,TV,17.0,35047,['Music'],Game,2018,winter,2018-01-07
35997,Märchen Mädchen,TV,10.0,34344,"['Fantasy', 'Magic', 'School']",Light novel,2018,winter,2018-01-11
35964,Basilisk: Ouka Ninpouchou,TV,24.0,28294,"['Action', 'Drama', 'Historical', 'Martial Arts']",Manga,2018,winter,2018-01-08
36840,25-sai no Joshikousei,TV,12.0,27692,"['Ecchi', 'Romance', 'School']",Web manga,2018,winter,2018-01-07
36522,Ling Qi 2,TV,12.0,26155,"['Action', 'Comedy', 'Magic', 'Shounen Ai', 'Supernatural']",Web manga,2018,winter,2018-02-23
34863,Zoku Touken Ranbu: Hanamaru,TV,12.0,21167,"['Action', 'Slice of Life', 'Comedy', 'Historical', 'Drama', 'Fantasy']",Game,2018,winter,2018-01-07
35988,Dame x Prince Anime Caravan,TV,12.0,20961,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",Visual novel,2018,winter,2018-01-10
36029,Hakyuu Houshin Engi,TV,23.0,17252,"['Adventure', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']",Manga,2018,winter,2018-01-12
36593,Hug tto! Precure,TV,49.0,10653,"['Action', 'Magic', 'Fantasy', 'Shoujo']",Original,2018,winter,2018-02-03
36982,Micchiri Neko,TV,39.0,6464,"['Comedy', 'Kids']",Web manga,2018,winter,2018-01-04
36784,Hataraku Onii-san!,TV,12.0,6120,"['Slice of Life', 'Comedy']",Original,2018,winter,2018-01-05
36196,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,TV,12.0,3967,"['Comedy', 'Fantasy', 'Parody']",Original,2018,winter,2018-01-09
36531,Shinkansen Henkei Robo Shinkalion The Animation,TV,76.0,2430,"['Action', 'Sci-Fi', 'Kids', 'Mecha']",Other,2018,winter,2018-01-05
36797,gdMen,TV,12.0,2371,"['Comedy', 'Fantasy']",Original,2018,winter,2018-01-08
36728,Mameneko,TV,12.0,1135,['Slice of Life'],Manga,2018,winter,2018-01-08
36894,Inazma Delivery: Dougyousha Attack-hen,TV,10.0,474,"['Action', 'Sci-Fi', 'Comedy']",Original,2018,winter,2017-12-07
36552,Pikachin-Kit,TV,115.0,292,"['Sci-Fi', 'Comedy', 'Kids']",Original,2018,winter,2018-01-06
37054,"Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?",TV,24.0,223,"['Comedy', 'Parody', 'Super Power']",Original,2018,winter,2018-01-14
37002,Uchi no Oochopus,TV,38.0,184,['Kids'],Picture book,2018,winter,2018-01-09
37244,Gan Gan Ganko-chan 2nd Season,TV,8.0,141,"['Sci-Fi', 'Comedy', 'Kids']",Original,2018,winter,2018-02-03
38075,Titipo Titipo,TV,26.0,117,"['Cars', 'Kids']",Original,2018,winter,2018-01-01
35120,Devilman: Crybaby,ONA,10.0,556676,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",Manga,2018,winter,2018-01-04
32827,B: The Beginning,ONA,12.0,203613,"['Action', 'Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",Original,2018,winter,2018-03-01
37033,Emiya-san Chi no Kyou no Gohan,ONA,13.0,78807,"['Slice of Life', 'Comedy']",Manga,2018,winter,2018-01-24
36039,A.I.C.O.: Incarnation,ONA,12.0,72293,"['Action', 'Sci-Fi']",Original,2018,winter,2018-03-08
27783,Sword Gai The Animation,ONA,12.0,45921,"['Action', 'Supernatural', 'Seinen']",Manga,2018,winter,2018-03-22
37087,Overlord: Ple Ple Pleiades 2,ONA,13.0,25624,"['Action', 'Comedy', 'Fantasy', 'Magic']",Light novel,2018,winter,2018-01-08
37150,Douluo Dalu,ONA,26.0,13519,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",Novel,2018,winter,2018-01-19
37175,Mi Yu Xing Zhe,ONA,12.0,11880,"['Mystery', 'Psychological', 'Thriller']",Web manga,2018,winter,2018-02-02
37278,Sword Art Online Fatal Bullet: The Third Episode - Pilot-ban,ONA,1.0,9271,['Game'],Game,2018,winter,2018-02-07
36963,IDOLiSH7 Vibrato,ONA,8.0,7990,['Music'],Game,2018,winter,2018-02-16
37164,Yao Shen Ji 2nd Season,ONA,40.0,5623,"['Action', 'Adventure', 'Demons', 'Romance', 'Martial Arts', 'Fantasy']",Novel,2018,winter,2018-01-05
37590,Devilman: Crybaby - Digest Eizou,ONA,1.0,5322,"['Action', 'Demons', 'Horror', 'Supernatural']",Manga,2018,winter,2018-03-23
37247,Gundam Build Divers Prologue,ONA,1.0,5058,"['Action', 'Sci-Fi', 'Mecha']",Original,2018,winter,2018-02-01
37736,Rang Wo Men Shao Ba,ONA,2.0,3993,"['Comedy', 'Psychological', 'Magic', 'School']",Original,2018,winter,2018-02-12
37176,Doupo Cangqiong 2nd Season,ONA,12.0,3892,"['Action', 'Adventure', 'Historical', 'Demons', 'Romance', 'Martial Arts', 'Fantasy']",Novel,2018,winter,2018-03-02
37589,Ano Hi no Kanojo-tachi,ONA,8.0,3729,['Slice of Life'],Original,2018,winter,2018-03-23
36875,Akuma no Memumemu-chan,ONA,1.0,2633,"['Comedy', 'Demons', 'Ecchi', 'Shounen']",Manga,2018,winter,2018-01-22
37104,Slow Start: Web Yokoku Movie,ONA,11.0,2350,['Slice of Life'],4-koma manga,2018,winter,2018-01-11
38444,God Eater Resonant Ops,ONA,1.0,2297,"['Fantasy', 'Game', 'Military', 'Music', 'Sci-Fi']",Game,2018,winter,2018-03-23
37937,Wan Jie Xian Zong,ONA,40.0,2013,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",Web manga,2018,winter,2018-03-20
37294,Wangu Xian Qiong II,ONA,12.0,1921,"['Adventure', 'Comedy', 'Fantasy']",Novel,2018,winter,2018-03-14
37318,Toji no Miko: Kizamishi Issen no Tomoshibi,ONA,2.0,1840,"['Action', 'Comedy']",Game,2018,winter,2018-01-29
37292,Fei Ren Zai,ONA,48.0,1773,"['Slice of Life', 'Comedy', 'Supernatural']",Manga,2018,winter,2018-03-28
36890,dMatsu-san,ONA,12.0,1655,"['Comedy', 'Parody']",Manga,2018,winter,2018-01-08
37948,Hentatsu,ONA,9.0,1255,['Comedy'],Original,2018,winter,2018-01-30
37174,Chichibu de Buchichi,ONA,1.0,1204,['Slice of Life'],Original,2018,winter,2018-03-29
42632,Yeon-ae Halujeon,ONA,10.0,1117,['Romance'],Original,2018,winter,2018-01-11
42629,Yeon-ae Halujeon 2,ONA,15.0,845,"['Slice of Life', 'Romance']",Original,2018,winter,2018-03-29
37671,Neeko ga Vtuber Shite Mita,ONA,4.0,805,['Slice of Life'],Web manga,2018,winter,2018-03-26
37285,"Ippun de Wakaru Eiga ""Donten ni Warau"" Kaisetsu Yokoku",ONA,1.0,770,"['Historical', 'Parody']",Other,2018,winter,2018-02-08
